  | libreoffice-l10n-af          | Afrikaans localization files for LibreOffice            | package
  | libreoffice-l10n-am          | Amharic localization files for LibreOffice              | package
  | libreoffice-l10n-ar          | Arabic localization files for LibreOffice               | package
  | libreoffice-l10n-as          | Assamese localization files for LibreOffice             | package
  | libreoffice-l10n-ast         | Asturian localization files for LibreOffice             | package
  | libreoffice-l10n-be          | Belarusian localization files for LibreOffice           | package
  | libreoffice-l10n-bg          | Bulgarian localization files for LibreOffice            | package
  | libreoffice-l10n-bn          | Bengali localization files for LibreOffice              | package
  | libreoffice-l10n-bn_IN       | Bengali_India localization files for LibreOffice        | package
  | libreoffice-l10n-bo          | Tibetian localization files for LibreOffice             | package
  | libreoffice-l10n-br          | Breton localization files for LibreOffice               | package
  | libreoffice-l10n-brx         | Bodo localization files for LibreOffice                 | package
  | libreoffice-l10n-bs          | Bosnian localization files for LibreOffice              | package
  | libreoffice-l10n-ca          | Catalan localization files for LibreOffice              | package
  | libreoffice-l10n-ca_valencia | Valencian localization files for LibreOffice            | package
  | libreoffice-l10n-cs          | Czech localization files for LibreOffice                | package
  | libreoffice-l10n-cy          | Welsh localization files for LibreOffice                | package
  | libreoffice-l10n-da          | Danish localization files for LibreOffice               | package
  | libreoffice-l10n-de          | German localization files for LibreOffice               | package
  | libreoffice-l10n-dgo         | Dogri localization files for LibreOffice                | package
  | libreoffice-l10n-dsb         | Lower_Sorbian localization files for LibreOffice        | package
  | libreoffice-l10n-dz          | Dzongkha localization files for LibreOffice             | package
  | libreoffice-l10n-el          | Greek localization files for LibreOffice                | package
i | libreoffice-l10n-en          | English localization files for LibreOffice              | package
  | libreoffice-l10n-en_GB       | English_GB localization files for LibreOffice           | package
  | libreoffice-l10n-en_ZA       | English_ZA localization files for LibreOffice           | package
  | libreoffice-l10n-eo          | Esperanto localization files for LibreOffice            | package
  | libreoffice-l10n-es          | Spanish localization files for LibreOffice              | package
  | libreoffice-l10n-et          | Estonian localization files for LibreOffice             | package
  | libreoffice-l10n-eu          | Basque localization files for LibreOffice               | package
  | libreoffice-l10n-fa          | Farsi localization files for LibreOffice                | package
  | libreoffice-l10n-fi          | Finnish localization files for LibreOffice              | package
  | libreoffice-l10n-fr          | French localization files for LibreOffice               | package
  | libreoffice-l10n-fy          | Frisian localization files for LibreOffice              | package
  | libreoffice-l10n-ga          | Irish localization files for LibreOffice                | package
  | libreoffice-l10n-gd          | Gaelic localization files for LibreOffice               | package
  | libreoffice-l10n-gl          | Galician localization files for LibreOffice             | package
  | libreoffice-l10n-gu          | Gujarati localization files for LibreOffice             | package
  | libreoffice-l10n-gug         | Paraguayan_Guaraní localization files for LibreOffice   | package
  | libreoffice-l10n-he          | Hebrew localization files for LibreOffice               | package
  | libreoffice-l10n-hi          | Hindi localization files for LibreOffice                | package
  | libreoffice-l10n-hr          | Croatian localization files for LibreOffice             | package
  | libreoffice-l10n-hsb         | Upper_Sorbian localization files for LibreOffice        | package
  | libreoffice-l10n-hu          | Hungarian localization files for LibreOffice            | package
  | libreoffice-l10n-id          | Indonesian localization files for LibreOffice           | package
  | libreoffice-l10n-is          | Icelandic localization files for LibreOffice            | package
  | libreoffice-l10n-it          | Italian localization files for LibreOffice              | package
  | libreoffice-l10n-ja          | Japanese localization files for LibreOffice             | package
  | libreoffice-l10n-ka          | Georgian localization files for LibreOffice             | package
  | libreoffice-l10n-kab         | Kabyle localization files for LibreOffice               | package
  | libreoffice-l10n-kk          | Kazakh localization files for LibreOffice               | package
  | libreoffice-l10n-km          | Khmer localization files for LibreOffice                | package
  | libreoffice-l10n-kmr_Latn    | Kurdish localization files for LibreOffice              | package
  | libreoffice-l10n-kn          | Kannada localization files for LibreOffice              | package
  | libreoffice-l10n-ko          | Korean localization files for LibreOffice               | package
  | libreoffice-l10n-kok         | Konkani localization files for LibreOffice              | package
  | libreoffice-l10n-ks          | Kashmiri localization files for LibreOffice             | package
  | libreoffice-l10n-lb          | Luxembourgish localization files for LibreOffice        | package
  | libreoffice-l10n-lo          | Lao localization files for LibreOffice                  | package
  | libreoffice-l10n-lt          | Lithuanian localization files for LibreOffice           | package
  | libreoffice-l10n-lv          | Latvian localization files for LibreOffice              | package
  | libreoffice-l10n-mai         | Maithili localization files for LibreOffice             | package
  | libreoffice-l10n-mk          | Macedonian localization files for LibreOffice           | package
  | libreoffice-l10n-ml          | Malayalam localization files for LibreOffice            | package
  | libreoffice-l10n-mn          | Monglolian localization files for LibreOffice           | package
  | libreoffice-l10n-mni         | Manipuri localization files for LibreOffice             | package
  | libreoffice-l10n-mr          | Marathi localization files for LibreOffice              | package
  | libreoffice-l10n-my          | Burnese localization files for LibreOffice              | package
  | libreoffice-l10n-nb          | Bokmal localization files for LibreOffice               | package
  | libreoffice-l10n-ne          | Nepali localization files for LibreOffice               | package
  | libreoffice-l10n-nl          | Dutch localization files for LibreOffice                | package
  | libreoffice-l10n-nn          | Nynorsk localization files for LibreOffice              | package
  | libreoffice-l10n-nr          | Southern_Ndebele localization files for LibreOffice     | package
  | libreoffice-l10n-nso         | Northern_Sotho localization files for LibreOffice       | package
  | libreoffice-l10n-oc          | Occitan localization files for LibreOffice              | package
  | libreoffice-l10n-om          | Oromo localization files for LibreOffice                | package
  | libreoffice-l10n-or          | Odia localization files for LibreOffice                 | package
  | libreoffice-l10n-pa          | Punjabi localization files for LibreOffice              | package
  | libreoffice-l10n-pl          | Polish localization files for LibreOffice               | package
  | libreoffice-l10n-pt_BR       | Brazilian_Portuguese localization files for LibreOffice | package
  | libreoffice-l10n-pt_PT       | Portuguese localization files for LibreOffice           | package
  | libreoffice-l10n-ro          | Romanian localization files for LibreOffice             | package
  | libreoffice-l10n-ru          | Russian localization files for LibreOffice              | package
  | libreoffice-l10n-rw          | Kinyarwanda localization files for LibreOffice          | package
  | libreoffice-l10n-sa_IN       | Sanskrit localization files for LibreOffice             | package
  | libreoffice-l10n-sat         | Santali localization files for LibreOffice              | package
  | libreoffice-l10n-sd          | Sindhi localization files for LibreOffice               | package
  | libreoffice-l10n-si          | Sinhalese localization files for LibreOffice            | package
  | libreoffice-l10n-sid         | Sidamo localization files for LibreOffice               | package
  | libreoffice-l10n-sk          | Slovak localization files for LibreOffice               | package
  | libreoffice-l10n-sl          | Slovenian localization files for LibreOffice            | package
  | libreoffice-l10n-sq          | Albanian localization files for LibreOffice             | package
  | libreoffice-l10n-sr          | Serbian localization files for LibreOffice              | package
  | libreoffice-l10n-ss          | Swati localization files for LibreOffice                | package
  | libreoffice-l10n-st          | Southern_Sotho localization files for LibreOffice       | package
  | libreoffice-l10n-sv          | Swedish localization files for LibreOffice              | package
  | libreoffice-l10n-sw_TZ       | Swahili localization files for LibreOffice              | package
  | libreoffice-l10n-ta          | Tamil localization files for LibreOffice                | package
  | libreoffice-l10n-te          | Telugu localization files for LibreOffice               | package
  | libreoffice-l10n-tg          | Tajik localization files for LibreOffice                | package
